time,temperature,windspeed,winddirection
2021-04-22T20:00,5.9,16.0,262
2021-04-22T21:00,5.2,14.8,271
2021-04-22T22:00,4.6,15.1,269
2021-04-22T23:00,4.0,15.5,266
2021-04-23T00:00,3.5,15.7,261
2021-04-23T01:00,3.3,16.5,259
2021-04-23T02:00,3.0,16.6,257
2021-04-23T03:00,2.8,16.8,261
2021-04-23T04:00,2.5,17.3,272
2021-04-23T05:00,2.1,15.6,277
2021-04-23T06:00,2.8,15.7,279
2021-04-23T07:00,4.2,15.6,277
2021-04-23T08:00,5.8,18.8,267
2021-04-23T09:00,7.6,19.8,273
2021-04-23T10:00,8.8,22.7,272
2021-04-23T11:00,9.1,24.3,285
2021-04-23T12:00,8.8,23.6,289
2021-04-23T13:00,7.7,20.3,293
2021-04-23T14:00,8.5,21.1,303
2021-04-23T15:00,9.9,18.3,290
2021-04-23T16:00,9.6,18.3,286
2021-04-23T17:00,8.3,23.1,285
2021-04-23T18:00,5.6,17.3,306
2021-04-23T19:00,5.8,12.8,308
2021-04-23T20:00,5.3,10.1,272
2021-04-23T21:00,4.3,8.8,261
2021-04-23T22:00,3.8,9.0,268
2021-04-23T23:00,3.2,10.1,266
2021-04-24T00:00,2.8,10.8,255
2021-04-24T01:00,2.6,12.3,249
2021-04-24T02:00,2.0,13.0,265
2021-04-24T03:00,1.3,12.2,268
2021-04-24T04:00,0.9,12.3,265
2021-04-24T05:00,1.0,13.4,265
2021-04-24T06:00,2.1,14.4,269
2021-04-24T07:00,3.7,16.0,278
2021-04-24T08:00,5.5,16.9,281
2021-04-24T09:00,7.2,18.2,284
2021-04-24T10:00,8.6,17.6,281
2021-04-24T11:00,9.0,18.5,278
2021-04-24T12:00,9.4,16.6,275
2021-04-24T13:00,9.8,15.8,271
2021-04-24T14:00,10.7,15.9,283
2021-04-24T15:00,10.7,19.5,293
2021-04-24T16:00,10.7,20.7,290
2021-04-24T17:00,10.4,18.5,299
2021-04-24T18:00,9.5,14.6,320
2021-04-24T19:00,7.1,16.6,2
2021-04-24T20:00,6.3,9.5,11
2021-04-24T21:00,5.7,6.4,16
2021-04-24T22:00,5.2,6.6,22
2021-04-24T23:00,4.7,6.3,24
2021-04-25T00:00,4.3,2.1,31
2021-04-25T01:00,4.6,4.5,166
2021-04-25T02:00,4.3,3.1,225
2021-04-25T03:00,3.3,5.2,326
2021-04-25T04:00,2.6,5.8,356
2021-04-25T05:00,2.4,4.3,5
2021-04-25T06:00,3.2,3.2,333
2021-04-25T07:00,4.4,4.3,294
2021-04-25T08:00,5.7,6.9,279
2021-04-25T09:00,6.8,9.1,277
2021-04-25T10:00,7.9,10.5,274
2021-04-25T11:00,8.2,13.8,279
2021-04-25T12:00,8.8,16.2,282
2021-04-25T13:00,9.0,17.6,305
2021-04-25T14:00,8.1,16.1,310
2021-04-25T15:00,8.8,14.9,302
2021-04-25T16:00,7.6,17.4,330
2021-04-25T17:00,7.9,13.5,335
2021-04-25T18:00,6.9,17.1,330
2021-04-25T19:00,5.7,10.8,334
2021-04-25T20:00,5.0,9.5,323
2021-04-25T21:00,4.4,7.6,335
2021-04-25T22:00,3.9,8.5,324
2021-04-25T23:00,2.9,9.5,331
2021-04-26T00:00,2.6,5.9,346
2021-04-26T01:00,2.2,5.6,310
2021-04-26T02:00,1.7,8.5,324
2021-04-26T03:00,1.7,7.2,323
2021-04-26T04:00,1.7,8.9,313
2021-04-26T05:00,0.9,9.2,315
2021-04-26T06:00,1.6,9.9,314
2021-04-26T07:00,2.8,10.4,314
2021-04-26T08:00,4.2,11.5,316
2021-04-26T09:00,5.4,11.8,310
2021-04-26T10:00,6.5,12.4,300
2021-04-26T11:00,7.3,13.7,293
2021-04-26T12:00,6.4,18.3,280
2021-04-26T13:00,7.0,12.8,280
2021-04-26T14:00,7.3,13.3,289
2021-04-26T15:00,7.5,12.5,282
2021-04-26T16:00,7.2,16.2,287
2021-04-26T17:00,6.9,13.6,292
2021-04-26T18:00,6.2,11.3,287
2021-04-26T19:00,4.9,10.0,285
2021-04-26T20:00,4.0,8.9,302
2021-04-26T21:00,3.5,5.0,339
2021-04-26T22:00,3.1,4.5,346
2021-04-26T23:00,2.7,6.2,339
2021-04-27T00:00,2.1,6.6,347
2021-04-27T01:00,1.7,6.1,3
2021-04-27T02:00,1.3,6.6,9
2021-04-27T03:00,0.9,6.5,360
2021-04-27T04:00,0.5,5.5,349
2021-04-27T05:00,0.5,5.2,344
2021-04-27T06:00,1.5,4.3,336
2021-04-27T07:00,3.0,3.8,319
2021-04-27T08:00,4.5,4.6,315
2021-04-27T09:00,5.9,5.6,310
2021-04-27T10:00,7.2,6.0,295
2021-04-27T11:00,8.3,6.2,291
2021-04-27T12:00,8.9,7.6,295
2021-04-27T13:00,9.0,9.3,298
2021-04-27T14:00,9.5,9.1,304
2021-04-27T15:00,9.6,8.9,310
2021-04-27T16:00,9.6,8.4,317
2021-04-27T17:00,9.3,7.6,329
2021-04-27T18:00,8.6,6.3,347
2021-04-27T19:00,7.4,4.4,35
2021-04-27T20:00,6.4,6.2,97
2021-04-27T21:00,5.6,8.6,123
2021-04-27T22:00,4.9,7.9,129
2021-04-27T23:00,4.3,7.6,135
2021-04-28T00:00,3.7,7.8,146
2021-04-28T01:00,3.3,7.7,139
2021-04-28T02:00,2.9,8.4,140
2021-04-28T03:00,2.3,8.3,146
2021-04-28T04:00,2.0,8.1,135
2021-04-28T05:00,2.1,8.7,135
2021-04-28T06:00,3.4,10.7,138
2021-04-28T07:00,5.5,11.5,134
2021-04-28T08:00,7.6,12.5,134
2021-04-28T09:00,9.4,13.7,135
2021-04-28T10:00,10.8,14.6,140
2021-04-28T11:00,11.8,15.1,142
2021-04-28T12:00,12.7,15.1,142
2021-04-28T13:00,13.5,15.1,142
2021-04-28T14:00,13.9,14.6,142
2021-04-28T15:00,14.1,14.6,142
2021-04-28T16:00,13.9,14.6,140
2021-04-28T17:00,13.5,13.3,131
2021-04-28T18:00,12.6,11.2,105
2021-04-28T19:00,10.9,11.2,96
2021-04-28T20:00,9.7,11.5,104
2021-04-28T21:00,8.8,12.4,120
2021-04-28T22:00,7.9,12.0,131
2021-04-28T23:00,7.2,11.2,135
2021-04-29T00:00,6.8,11.5,139
2021-04-29T01:00,6.7,10.7,138
2021-04-29T02:00,6.5,10.2,138
2021-04-29T03:00,6.2,10.4,136
2021-04-29T04:00,5.8,9.7,135
2021-04-29T05:00,6.0,10.2,132
2021-04-29T06:00,7.0,10.7,130
2021-04-29T07:00,8.6,12.5,129
2021-04-29T08:00,10.6,12.0,129
2021-04-29T09:00,12.5,14.5,132
2021-04-29T10:00,14.2,15.9,141
2021-04-29T11:00,15.6,16.7,155
2021-04-29T12:00,15.3,16.9,168
2021-04-29T13:00,16.7,17.0,176
2021-04-29T14:00,15.9,11.9,175
2021-04-29T15:00,17.1,14.1,195
2021-04-29T16:00,15.6,12.6,193
2021-04-29T17:00,15.7,12.4,202
2021-04-29T18:00,15.1,11.2,184
2021-04-29T19:00,14.5,12.5,192
2021-04-29T20:00,13.7,14.2,210
2021-04-29T21:00,12.8,13.5,226
2021-04-29T22:00,12.3,14.0,228
2021-04-29T23:00,11.6,12.8,230
2021-04-30T00:00,11.4,11.0,232
2021-04-30T01:00,11.0,10.5,232
2021-04-30T02:00,11.2,9.9,251
2021-04-30T03:00,10.9,8.6,237
2021-04-30T04:00,10.9,10.2,222
2021-04-30T05:00,10.6,12.8,238
2021-04-30T06:00,11.3,12.4,244
2021-04-30T07:00,12.2,17.1,262
2021-04-30T08:00,12.6,20.9,267
2021-04-30T09:00,13.3,23.1,265
2021-04-30T10:00,13.7,24.6,264
2021-04-30T11:00,14.1,24.7,262
2021-04-30T12:00,14.7,24.8,269
2021-04-30T13:00,14.5,25.3,285
2021-04-30T14:00,13.9,24.3,294
2021-04-30T15:00,12.7,22.7,293
2021-04-30T16:00,11.9,20.2,292
2021-04-30T17:00,11.4,16.5,286
2021-04-30T18:00,11.0,14.6,286
2021-04-30T19:00,10.4,12.9,297
2021-04-30T20:00,10.0,10.9,304
2021-04-30T21:00,9.2,9.2,312
2021-04-30T22:00,8.7,7.1,311
2021-04-30T23:00,8.0,5.1,315
2021-05-01T00:00,7.5,4.3,318
2021-05-01T01:00,7.0,4.6,309
2021-05-01T02:00,7.1,2.5,360
2021-05-01T03:00,6.7,3.3,41
2021-05-01T04:00,6.6,5.2,16
2021-05-01T05:00,6.9,5.6,40
2021-05-01T06:00,7.3,9.1,56
2021-05-01T07:00,8.3,8.4,70
2021-05-01T08:00,8.1,5.0,30
2021-05-01T09:00,8.0,8.3,85
2021-05-01T10:00,8.2,8.1,69
2021-05-01T11:00,8.3,3.8,73
2021-05-01T12:00,8.0,6.2,54
2021-05-01T13:00,8.0,8.2,49
2021-05-01T14:00,7.9,9.7,63
2021-05-01T15:00,7.9,9.7,42
2021-05-01T16:00,7.9,8.6,33
2021-05-01T17:00,7.9,8.8,35
2021-05-01T18:00,7.8,10.4,46
2021-05-01T19:00,7.8,10.2,42
2021-05-01T20:00,7.7,9.7,48
2021-05-01T21:00,7.6,8.9,43
2021-05-01T22:00,7.5,10.7,45
2021-05-01T23:00,7.5,11.1,54
2021-05-02T00:00,7.4,12.8,50
2021-05-02T01:00,7.5,11.5,51
2021-05-02T02:00,7.5,12.5,44
2021-05-02T03:00,7.4,14.3,51
2021-05-02T04:00,7.5,15.6,61
2021-05-02T05:00,7.6,16.6,63
2021-05-02T06:00,7.9,18.5,66
2021-05-02T07:00,8.7,18.9,66
2021-05-02T08:00,8.8,18.9,69
2021-05-02T09:00,9.0,19.1,70
2021-05-02T10:00,9.5,18.9,77
2021-05-02T11:00,9.8,19.7,69
2021-05-02T12:00,10.3,18.9,76
2021-05-02T13:00,10.6,12.0,97
2021-05-02T14:00,11.4,10.5,117
2021-05-02T15:00,11.3,3.9,158
2021-05-02T16:00,10.9,24.2,222
2021-05-02T17:00,10.5,23.7,222
2021-05-02T18:00,8.1,34.4,254
2021-05-02T19:00,6.4,36.1,282
2021-05-02T20:00,3.0,35.4,285
2021-05-02T21:00,2.6,31.4,285
2021-05-02T22:00,2.9,28.5,286
2021-05-02T23:00,3.3,28.7,285
2021-05-03T00:00,3.7,28.3,288
2021-05-03T01:00,3.4,27.7,288
2021-05-03T02:00,3.1,27.0,289
2021-05-03T03:00,2.9,25.9,286
2021-05-03T04:00,3.1,22.2,287
2021-05-03T05:00,3.1,23.4,281
2021-05-03T06:00,3.7,22.5,282
2021-05-03T07:00,4.8,22.5,286
2021-05-03T08:00,6.1,23.9,291
2021-05-03T09:00,7.1,24.6,291
2021-05-03T10:00,8.1,26.0,292
2021-05-03T11:00,7.6,23.1,291
2021-05-03T12:00,8.5,25.3,294
2021-05-03T13:00,8.6,21.6,288
2021-05-03T14:00,8.8,24.9,275
2021-05-03T15:00,8.2,21.1,278
2021-05-03T16:00,8.9,24.8,270
2021-05-03T17:00,8.7,22.0,271
2021-05-03T18:00,7.9,18.0,271
2021-05-03T19:00,6.7,16.9,259
2021-05-03T20:00,6.0,15.0,260
2021-05-03T21:00,5.4,15.7,261
2021-05-03T22:00,4.8,14.4,266
2021-05-03T23:00,4.3,13.2,259
2021-05-04T00:00,4.0,12.7,255
2021-05-04T01:00,3.6,12.7,255
2021-05-04T02:00,3.3,10.5,254
2021-05-04T03:00,2.9,10.6,246
2021-05-04T04:00,2.6,10.1,243
2021-05-04T05:00,3.0,9.2,239
2021-05-04T06:00,4.6,11.1,241
2021-05-04T07:00,6.5,12.5,226
2021-05-04T08:00,8.0,13.9,217
2021-05-04T09:00,10.0,16.3,202
2021-05-04T10:00,11.4,20.5,202
2021-05-04T11:00,12.7,23.0,205
2021-05-04T12:00,13.7,24.9,200
2021-05-04T13:00,14.7,24.5,210
2021-05-04T14:00,15.0,23.2,204
2021-05-04T15:00,15.2,20.7,193
2021-05-04T16:00,14.9,18.8,200
2021-05-04T17:00,14.4,19.4,202
2021-05-04T18:00,14.1,19.3,204
2021-05-04T19:00,12.5,14.0,228
2021-05-04T20:00,12.2,16.2,181
2021-05-04T21:00,12.5,18.9,198
2021-05-04T22:00,12.0,26.8,234
2021-05-04T23:00,11.5,28.8,233
2021-05-05T00:00,10.4,24.2,240
2021-05-05T01:00,10.4,16.3,221
2021-05-05T02:00,10.3,16.8,228
2021-05-05T03:00,10.4,16.1,246
2021-05-05T04:00,9.5,12.1,240
2021-05-05T05:00,9.4,10.5,221
2021-05-05T06:00,10.3,13.8,229
2021-05-05T07:00,11.1,13.5,228
2021-05-05T08:00,10.8,12.9,210
2021-05-05T09:00,10.6,13.0,208
2021-05-05T10:00,12.1,16.0,239
2021-05-05T11:00,13.2,16.1,246
2021-05-05T12:00,10.9,14.0,258
2021-05-05T13:00,9.8,13.7,247
2021-05-05T14:00,8.9,13.8,227
2021-05-05T15:00,9.9,16.9,254
2021-05-05T16:00,9.9,12.0,224
2021-05-05T17:00,10.3,16.7,251
2021-05-05T18:00,9.9,13.4,216
2021-05-05T19:00,8.9,13.4,216
2021-05-05T20:00,8.1,15.8,223
2021-05-05T21:00,8.5,20.2,248
2021-05-05T22:00,7.9,12.0,224
2021-05-05T23:00,6.9,19.3,237
2021-05-06T00:00,6.4,21.9,253
2021-05-06T01:00,6.0,23.9,259
2021-05-06T02:00,5.2,22.9,263
2021-05-06T03:00,4.9,22.0,259
2021-05-06T04:00,5.4,25.7,264
2021-05-06T05:00,4.8,25.3,259
2021-05-06T06:00,5.4,23.8,255
2021-05-06T07:00,6.6,26.0,256
2021-05-06T08:00,7.7,28.7,258
2021-05-06T09:00,9.1,28.9,256
2021-05-06T10:00,10.3,29.3,256
2021-05-06T11:00,11.4,29.0,256
2021-05-06T12:00,12.3,28.8,254
2021-05-06T13:00,12.8,26.6,254
2021-05-06T14:00,13.2,23.8,252
2021-05-06T15:00,13.3,21.8,248
2021-05-06T16:00,11.7,21.5,247
2021-05-06T17:00,11.3,18.7,242
2021-05-06T18:00,10.6,16.4,232
2021-05-06T19:00,9.4,13.2,223
2021-05-06T20:00,8.6,10.7,220
2021-05-06T21:00,7.7,8.9,212
2021-05-06T22:00,7.3,8.4,205
2021-05-06T23:00,7.0,12.4,210
2021-05-07T00:00,7.3,9.5,189
2021-05-07T01:00,6.9,10.2,170
2021-05-07T02:00,6.6,9.7,180
2021-05-07T03:00,6.5,5.9,142
2021-05-07T04:00,6.4,8.2,142
2021-05-07T05:00,6.7,15.8,201
2021-05-07T06:00,6.2,17.4,220
2021-05-07T07:00,6.2,6.6,225
2021-05-07T08:00,6.3,4.3,175
2021-05-07T09:00,6.5,5.4,143
2021-05-07T10:00,6.7,3.1,126
2021-05-07T11:00,6.8,2.3,162
2021-05-07T12:00,7.0,2.2,9
2021-05-07T13:00,6.8,8.3,342
2021-05-07T14:00,6.7,8.4,353
2021-05-07T15:00,7.7,5.9,322
2021-05-07T16:00,8.4,5.6,285
2021-05-07T17:00,8.7,6.1,273
2021-05-07T18:00,7.5,14.9,277
2021-05-07T19:00,5.3,14.8,317
2021-05-07T20:00,5.5,8.4,320
2021-05-07T21:00,5.2,14.8,273
2021-05-07T22:00,3.2,17.6,281
2021-05-07T23:00,2.7,16.9,282
2021-05-08T00:00,3.5,13.1,302
2021-05-08T01:00,4.5,16.2,287
2021-05-08T02:00,4.1,18.9,278
2021-05-08T03:00,3.4,18.8,267
2021-05-08T04:00,3.3,20.8,280
2021-05-08T05:00,3.3,18.9,283
2021-05-08T06:00,3.6,16.6,283
2021-05-08T07:00,4.0,16.2,283
2021-05-08T08:00,4.7,17.1,285
2021-05-08T09:00,5.8,17.9,285
2021-05-08T10:00,7.7,17.4,288
2021-05-08T11:00,9.5,20.0,288
2021-05-08T12:00,10.0,20.1,280
2021-05-08T13:00,9.9,22.1,277
2021-05-08T14:00,10.5,23.6,278
2021-05-08T15:00,9.2,21.4,277
2021-05-08T16:00,10.0,19.7,278
2021-05-08T17:00,10.4,17.2,286
2021-05-08T18:00,9.8,11.8,290
2021-05-08T19:00,8.1,8.0,280
2021-05-08T20:00,7.1,5.4,278
2021-05-08T21:00,6.5,5.1,266
2021-05-08T22:00,6.0,5.5,238
2021-05-08T23:00,5.6,5.4,228
2021-05-09T00:00,5.3,4.9,197
2021-05-09T01:00,5.1,6.9,186
2021-05-09T02:00,4.8,7.2,177
2021-05-09T03:00,4.3,8.4,173
2021-05-09T04:00,4.1,8.4,173
2021-05-09T05:00,4.6,8.7,156
2021-05-09T06:00,6.4,12.3,159
2021-05-09T07:00,8.5,14.5,157
2021-05-09T08:00,10.5,16.4,151
2021-05-09T09:00,12.4,17.9,158
2021-05-09T10:00,14.2,19.4,165
2021-05-09T11:00,15.6,20.2,175
2021-05-09T12:00,16.8,20.2,178
2021-05-09T13:00,18.0,18.8,187
2021-05-09T14:00,18.6,18.9,194
2021-05-09T15:00,18.7,19.5,192
2021-05-09T16:00,18.6,17.3,181
2021-05-09T17:00,18.1,18.0,168
2021-05-09T18:00,16.6,17.6,154
2021-05-09T19:00,15.0,16.9,146
2021-05-09T20:00,14.1,17.5,148
2021-05-09T21:00,13.3,19.1,148
2021-05-09T22:00,12.7,17.4,153
2021-05-09T23:00,11.8,16.4,151
2021-05-10T00:00,11.2,14.5,153
2021-05-10T01:00,10.8,13.4,149
2021-05-10T02:00,10.2,12.1,143
2021-05-10T03:00,9.8,13.3,142
2021-05-10T04:00,9.6,15.6,146
2021-05-10T05:00,10.0,16.4,147
2021-05-10T06:00,11.4,17.4,146
2021-05-10T07:00,13.2,20.1,147
2021-05-10T08:00,15.3,21.0,149
2021-05-10T09:00,17.3,22.6,149
2021-05-10T10:00,19.0,24.2,152
2021-05-10T11:00,20.4,25.6,152
2021-05-10T12:00,21.6,25.4,155
2021-05-10T13:00,22.5,23.7,156
2021-05-10T14:00,23.1,23.8,153
2021-05-10T15:00,23.4,22.9,152
2021-05-10T16:00,23.2,22.2,153
2021-05-10T17:00,22.4,20.8,154
2021-05-10T18:00,20.9,18.2,155
2021-05-10T19:00,19.3,15.6,151
2021-05-10T20:00,17.8,16.0,134
2021-05-10T21:00,16.7,16.6,132
2021-05-10T22:00,16.1,17.1,141
2021-05-10T23:00,15.3,15.4,143
2021-05-11T00:00,14.7,14.1,140
2021-05-11T01:00,14.4,14.1,140
2021-05-11T02:00,13.7,14.0,136
2021-05-11T03:00,13.3,15.3,133
2021-05-11T04:00,13.0,16.4,128
2021-05-11T05:00,13.2,17.7,128
2021-05-11T06:00,14.5,19.5,129
2021-05-11T07:00,16.4,21.1,134
2021-05-11T08:00,18.1,23.4,137
2021-05-11T09:00,20.0,24.0,140
2021-05-11T10:00,21.7,25.5,138
2021-05-11T11:00,22.9,26.3,139
2021-05-11T12:00,23.7,26.9,141
2021-05-11T13:00,24.4,25.8,140
2021-05-11T14:00,24.6,25.5,137
2021-05-11T15:00,24.7,24.2,133
2021-05-11T16:00,24.0,24.9,127
2021-05-11T17:00,22.8,24.6,128
2021-05-11T18:00,21.1,24.5,126
2021-05-11T19:00,19.6,24.1,125
2021-05-11T20:00,18.5,24.6,125
2021-05-11T21:00,17.7,23.3,128
2021-05-11T22:00,16.9,22.8,129
2021-05-11T23:00,16.1,22.5,130
2021-05-12T00:00,15.4,22.0,130
2021-05-12T01:00,15.1,20.7,129
2021-05-12T02:00,14.5,18.4,130
2021-05-12T03:00,13.9,16.9,128
2021-05-12T04:00,13.4,17.5,127
2021-05-12T05:00,13.5,18.4,125
2021-05-12T06:00,14.7,20.8,127
2021-05-12T07:00,16.6,22.7,131
2021-05-12T08:00,18.7,23.7,134
2021-05-12T09:00,20.7,25.2,134
2021-05-12T10:00,22.3,26.0,132
2021-05-12T11:00,23.2,27.7,128
2021-05-12T12:00,23.7,27.6,126
2021-05-12T13:00,24.4,26.7,127
2021-05-12T14:00,24.6,25.9,128
2021-05-12T15:00,24.6,24.6,125
2021-05-12T16:00,23.7,26.3,112
2021-05-12T17:00,21.7,26.3,115
2021-05-12T18:00,19.5,25.4,117
2021-05-12T19:00,18.4,21.8,121
2021-05-12T20:00,17.3,20.5,118
2021-05-12T21:00,16.2,19.6,116
2021-05-12T22:00,15.3,17.4,114
2021-05-12T23:00,14.3,17.6,113
2021-05-13T00:00,13.3,16.9,117
2021-05-13T01:00,12.6,14.0,119
2021-05-13T02:00,11.8,13.0,109
2021-05-13T03:00,11.1,12.3,105
2021-05-13T04:00,10.6,10.4,110
2021-05-13T05:00,10.7,12.3,105
2021-05-13T06:00,12.1,13.0,109
2021-05-13T07:00,13.9,12.8,106
2021-05-13T08:00,15.7,13.7,104
2021-05-13T09:00,17.2,15.2,97
2021-05-13T10:00,18.4,15.5,94
2021-05-13T11:00,19.2,15.7,99
2021-05-13T12:00,19.8,15.7,99
2021-05-13T13:00,20.4,14.9,97
2021-05-13T14:00,20.6,13.8,99
2021-05-13T15:00,20.5,13.1,98
2021-05-13T16:00,20.2,12.6,95
2021-05-13T17:00,19.6,13.0,92
2021-05-13T18:00,18.6,11.2,92
2021-05-13T19:00,17.1,9.4,90
2021-05-13T20:00,15.6,9.7,88
2021-05-13T21:00,14.3,7.6,93
2021-05-13T22:00,13.8,6.2,100
2021-05-13T23:00,13.3,6.2,97
2021-05-14T00:00,12.7,6.3,66
2021-05-14T01:00,12.1,5.8,60
2021-05-14T02:00,11.7,4.6,72
2021-05-14T03:00,11.4,5.2,56
2021-05-14T04:00,11.2,4.5,76
2021-05-14T05:00,12.3,6.8,18
2021-05-14T06:00,13.0,5.4,48
2021-05-14T07:00,13.9,3.9,22
2021-05-14T08:00,16.3,6.0,335
2021-05-14T09:00,17.9,7.9,317
2021-05-14T10:00,18.2,8.9,297
2021-05-14T11:00,18.5,11.6,292
2021-05-14T12:00,19.1,12.1,282
2021-05-14T13:00,20.5,9.5,261
2021-05-14T14:00,20.2,12.6,267
2021-05-14T15:00,19.1,16.8,280
2021-05-14T16:00,18.7,15.5,282
